id,name,archetype,cost,hp,dmg,period,speed,range,count,air,targets_air,bldg_only,splash,is_spell,effect,duration,decay,aura_type,aura_power,aura_radius,hit_effect,hit_dur,suicide,death_dmg,death_r,anywhere,tower_pct,cr_ref,kb,col_r,mass,jumps,spell_delay,no_tower,charge,hook,spawn_type
0,Bulwark,tank,3,1766,202,6,51,1.2,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Knight,0.0,0.5,6,0,0,0,0,0,-1
1,Ironhide,tank,5,4091,254,8,38,1.2,1,0,0,1,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Giant,0.0,0.75,18,0,0,0,0,0,-1
2,Golemite,tank,8,5120,312,12,38,0.75,1,0,1,1,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Golem,0.0,0.75,20,0,0,0,0,0,-1
3,Shellfort,tank,2,1197,84,12,38,0.75,1,0,1,1,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Ice Golem,0.0,0.7,6,0,0,0,0,0,-1
4,Duskblade,tank,7,3760,816,9,38,1.2,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,P.E.K.K.A,0.0,0.75,18,0,0,0,0,0,-1
5,Mossback,tank,4,1908,267,8,51,1.2,1,0,0,0,2.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Valkyrie,0.0,0.5,5,0,0,0,0,0,-1
6,Sporelings,swarm,1,81,81,5,77,0.5,3,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Skeletons,0.0,0.5,1,0,0,0,0,0,-1
7,Ratpack,swarm,3,81,81,5,77,0.5,15,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Skeleton Army,0.0,0.5,1,0,0,0,0,0,-1
8,Marrowlings,swarm,2,202,120,6,102,0.5,4,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Goblins,0.0,0.5,2,0,0,0,0,0,-1
9,Thistlekin,swarm,5,670,192,6,51,0.7,5,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Barbarians,0.0,0.5,4,0,0,0,0,0,-1
10,Ashhorde,swarm,6,1341,384,7,77,1.2,2,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Elite Barbarians,0.0,0.5,4,0,0,0,0,0,-1
11,Gnatcloud,swarm,2,81,81,6,102,1.2,5,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Bats,0.0,0.5,1,0,0,0,0,0,-1
12,Zephyrling,air,3,230,117,5,77,1.6,3,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Minions,0.0,0.5,2,0,0,0,0,0,-1
13,Wispflock,air,5,230,117,5,77,1.6,6,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Minion Horde,0.0,0.5,2,0,0,0,0,0,-1
14,Skyray,air,3,837,311,8,51,1.6,1,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Mega Minion,0.0,0.6,6,0,0,0,0,0,-1
15,Emberwing,air,4,1152,160,8,77,3.5,1,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Baby Dragon,0.0,0.5,5,0,0,0,0,0,-1
16,Bonekites,air,4,563,161,10,77,3.5,2,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Skeleton Dragons,0.0,0.9,4,0,0,0,0,0,-1
